"","X","Y","genetic_off_50","genetic_off_70"
"VillaSeca_Otzolotepec",-99.6270555556,19.4074722222,0.0104910026208791,0.0770059956916215
"Churintzio_Churintzio",-102.0684444444,20.1393888889,0.0169432750294027,0.0463428382368511
"SMH571_Acambaro",-100.8848888889,19.9917222222,0.00888419663470037,0.0345792739988487
"SMH572_Acambaro",-100.8496666667,19.9581944444,0.00998847124911052,0.0366422685832581
"SMH573_Acambaro",-100.9599166667,19.9828055556,0.00876273930655601,0.0377736379559352
"SMH575_SantaAnaMaya",-101.0881111111,20.0531944444,0.012947417363334,0.0460845276910983
"SMH576_Yuriria",-101.3730833333,20.1607222222,0.0184676907484516,0.0541572802429194
"SMHMGCH579_Puruandiro",-101.4341666667,20.1338055556,0.0139088403891249,0.0475594360368477
"SMHMGCH580_Huandacareo",-101.2354166667,19.9646111111,0.00945622313343288,0.0395381292970152
"SMHMGCH582_JesusMaria",-102.0898333333,20.7195555556,0.0318172719521986,0.0489661302759933
"Cocotitlan_Cocotitlan",-98.8661388889,19.22625,0.0688017564479994,0.089345829141494
"SanNicolas_SnNicolasBuenosAires",-98.1854166667,19.1594722222,0.0686811350034051,0.0894738985925546
"Tenancingo_Tenancingo",-98.8637222222,19.1397777778,0.0465809632003605,0.0784560010634479
"Calpan_Calpan",-98.4874444444,19.0838888889,0.0171306619638984,0.0777574253346571
"Texcoco_Texcoco",-98.9146111111,19.5025277778,0.0707013730148079,0.0866988927001845
"ElPorvenir",-100.64,19.68,0.0789537809976689,0.0943253792500008
"Ixtlan",-102.37,20.17,0.0246206056363256,0.0509824343421884
"Opopeo",-101.61,19.42,0.0705384113818972,0.0957512189923282
"puruandiro",-101.49,20.11,0.0154710925734818,0.049341420521821
"SanPedro",-98.49,19.09,0.0171306619638984,0.0777574253346571
"SantaClara",-101.64,19.42,0.0639037750334609,0.0958124987773506
"TenangodelAire",-99.59,19.12,0.0139599447635745,0.0582461841725852
"Xochimilco",-99.08,19.29,0.0677765203298383,0.0926414967563979
