"","longitude","latitude","vals_pres","vals_50","vals_70","cluster"
"Calpan_Calpan",-98.4874444444,19.0838888889,1,1,NA,"warm"
"Churintzio_Churintzio",-102.0684444444,20.1393888889,1,1,1,"warm"
"Cocotitlan_Cocotitlan",-98.8661388889,19.22625,1,1,1,"warm"
"ElPorvenir",-100.64,19.68,1,NA,NA,NA
"Ixtlan",-102.37,20.17,1,1,1,"warm"
"Opopeo",-101.61,19.42,1,NA,1,NA
"puruandiro",-101.49,20.11,1,1,NA,"warm"
"SanNicolas_SnNicolasBuenosAires",-98.1854166667,19.1594722222,1,1,NA,"warm"
"SanPedro",-98.49,19.09,1,1,NA,"warm"
"SantaClara",-101.64,19.42,1,NA,1,NA
"SMH571_Acambaro",-100.8848888889,19.9917222222,1,1,NA,"warm"
"SMH572_Acambaro",-100.8496666667,19.9581944444,1,1,NA,"warm"
"SMH573_Acambaro",-100.9599166667,19.9828055556,1,NA,NA,"warm"
"SMH575_SantaAnaMaya",-101.0881111111,20.0531944444,1,NA,NA,"warm"
"SMH576_Yuriria",-101.3730833333,20.1607222222,1,1,NA,"warm"
"SMHMGCH579_Puruandiro",-101.4341666667,20.1338055556,1,NA,NA,"warm"
"SMHMGCH580_Huandacareo",-101.2354166667,19.9646111111,1,NA,NA,"warm"
"SMHMGCH582_JesusMaria",-102.0898333333,20.7195555556,1,NA,NA,NA
"Tenancingo_Tenancingo",-98.8637222222,19.1397777778,1,1,1,"warm"
"TenangodelAire",-99.59,19.12,1,1,NA,"warm"
"Texcoco_Texcoco",-98.9146111111,19.5025277778,1,1,NA,"warm"
"VillaSeca_Otzolotepec",-99.6270555556,19.4074722222,1,NA,NA,"warm"
"Xochimilco",-99.08,19.29,1,1,NA,"warm"
