"","longitude","latitude","prop_NS","prop_S","tot_NS","tot_S","mean_NS","mean_S","pns_ps","pnfn_psfs","category","col"
"Calpan_Calpan",-98.4874444444,19.0838888889,0.760185662712739,0.773506732650478,1474,6721,0.421064880393239,0.424518237676622,0.179865771812081,0.175671354056927,"cold","#6e79a2"
"Churintzio_Churintzio",-102.0684444444,20.1393888889,0.807632800412584,0.804235239958568,1566,6988,0.393406790102192,0.405520103584643,0.183072246902034,0.160208328811023,"warm","#b66859"
"Cocotitlan_Cocotitlan",-98.8661388889,19.22625,0.822588963383187,0.83404304292784,1595,7247,0.374569798018074,0.387714165156555,0.180389052250622,0.143231598666065,"cold","#6e79a2"
"ElPorvenir",-100.64,19.68,0.780299123259412,0.794107492231557,1513,6900,0.403187359383658,0.412319875776398,0.179840722691073,0.163351453645948,"warm","#b66859"
"Ixtlan",-102.37,20.17,0.76173285198556,0.756588790424675,1477,6574,0.411028531763129,0.424915876132791,0.183455471370016,0.175840014686552,"warm","#b66859"
"Opopeo",-101.61,19.42,0.757091284167096,0.768903210956382,1468,6681,0.422210180827347,0.430111734338272,0.180144803043318,0.178807843097035,"cold","#6e79a2"
"puruandiro",-101.49,20.11,0.855079938112429,0.846702727586604,1658,7357,0.372085755016997,0.391946033668203,0.183915696062119,0.147280441030288,"warm","#b66859"
"SanNicolas_SnNicolasBuenosAires",-98.1854166667,19.1594722222,0.798349664775658,0.809414201864426,1548,7033,0.386752994529157,0.401356108700059,0.180398554946976,0.153103771643829,"cold","#6e79a2"
"SanPedro",-98.49,19.09,0.701908200103146,0.723558522269536,1361,6287,0.450763884250291,0.456032650346313,0.177955020920502,0.199412190114105,"cold","#6e79a2"
"SantaClara",-101.64,19.42,0.660134089736978,0.681781562895615,1280,5924,0.477265174062049,0.493661206937709,0.177679067184897,0.228126456054432,"cold","#6e79a2"
"SMH571_Acambaro",-100.8848888889,19.9917222222,0.740072202166065,0.761997928415238,1435,6621,0.420098370464224,0.434245626916674,0.178128103277061,0.177176758483683,"warm","#b66859"
"SMH572_Acambaro",-100.8496666667,19.9581944444,0.844249613202682,0.855449418805386,1637,7433,0.37483381005067,0.386915749168541,0.180485115766262,0.143130339007867,"warm","#b66859"
"SMH573_Acambaro",-100.9599166667,19.9828055556,0.858690046415678,0.859707676372425,1665,7470,0.371139776139776,0.38375494764049,0.182266009852217,0.142258135842303,"warm","#b66859"
"SMH575_SantaAnaMaya",-101.0881111111,20.0531944444,0.847343991748324,0.854298538381862,1643,7423,0.370459815088543,0.382146091219242,0.181226560776528,0.140417300134381,"warm","#b66859"
"SMH576_Yuriria",-101.3730833333,20.1607222222,0.794223826714801,0.806997352975026,1540,7012,0.393630499190564,0.411483409472571,0.180074836295603,0.159408645721783,"warm","#b66859"
"SMHMGCH579_Puruandiro",-101.4341666667,20.1338055556,0.808664259927798,0.828748992979629,1568,7201,0.386084849461763,0.400897570235162,0.178811723115521,0.151029372942776,"warm","#b66859"
"SMHMGCH580_Huandacareo",-101.2354166667,19.9646111111,0.835482207323363,0.84267464610427,1620,7322,0.380674959471256,0.394411749287466,0.181167524043838,0.148861171392523,"warm","#b66859"
"SMHMGCH582_JesusMaria",-102.0898333333,20.7195555556,0.686436307374936,0.711359189780182,1331,6181,0.471560670734224,0.481236376738723,0.177183173588924,0.218981448957537,"warm","#b66859"
"Tenancingo_Tenancingo",-98.8637222222,19.1397777778,0.776173285198556,0.786626769478651,1505,6835,0.416932382862615,0.423175838832386,0.180455635491607,0.174091056436924,"cold","#6e79a2"
"TenangodelAire",-99.59,19.12,0.731304796286746,0.760731959949361,1418,6610,0.42069567323446,0.427993371143901,0.176631788739412,0.173089948032293,"cold","#6e79a2"
"Texcoco_Texcoco",-98.9146111111,19.5025277778,0.771015987622486,0.771780412015192,1495,6706,0.395669120919957,0.419951865660932,0.182294842092428,0.165997407257923,"cold","#6e79a2"
"VillaSeca_Otzolotepec",-99.6270555556,19.4074722222,0.802475502836514,0.815283692024399,1556,7084,0.394315485285922,0.398851543713204,0.180092592592593,0.154802559951844,"cold","#6e79a2"
"Xochimilco",-99.08,19.29,0.57864878803507,0.588099896420762,1122,5110,0.527246732026144,0.547638137031483,0.180038510911425,0.284100191136193,"cold","#6e79a2"
